Category: All categories

Month,Cupcake: (Worldwide)
2004-01,5
2004-02,6
2004-03,5
2004-04,5
2004-05,5
2004-06,5
2004-07,5
2004-08,6
2004-09,5
2004-10,8
2004-11,6
2004-12,5
2005-01,6
2005-02,8
2005-03,8
2005-04,7
2005-05,7
2005-06,7
2005-07,7
2005-08,8
2005-09,8
2005-10,11
2005-11,8
2005-12,8
2006-01,8
2006-02,10
2006-03,10
2006-04,10
2006-05,10
2006-06,9
2006-07,9
2006-08,11
2006-09,12
2006-10,15
2006-11,11
2006-12,11
2007-01,12
2007-02,15
2007-03,15
2007-04,15
2007-05,16
2007-06,16
2007-07,17
2007-08,19
2007-09,18
2007-10,22
2007-11,18
2007-12,18
2008-01,19
2008-02,25
2008-03,23
2008-04,23
2008-05,25
2008-06,24
2008-07,25
2008-08,25
2008-09,26
2008-10,31
2008-11,26
2008-12,26
2009-01,29
2009-02,34
2009-03,34
2009-04,34
2009-05,37
2009-06,36
2009-07,35
2009-08,37
2009-09,34
2009-10,42
2009-11,37
2009-12,32
2010-01,34
2010-02,45
2010-03,45
2010-04,44
2010-05,47
2010-06,46
2010-07,56
2010-08,60
2010-09,57
2010-10,61
2010-11,56
2010-12,53
2011-01,57
2011-02,71
2011-03,68
2011-04,72
2011-05,67
2011-06,65
2011-07,69
2011-08,74
2011-09,68
2011-10,82
2011-11,75
2011-12,76
2012-01,77
2012-02,97
2012-03,91
2012-04,92
2012-05,85
2012-06,88
2012-07,86
2012-08,85
2012-09,87
2012-10,100
2012-11,83
2012-12,82
2013-01,78
2013-02,94
2013-03,95
2013-04,87
2013-05,89
2013-06,82
2013-07,84
2013-08,84
2013-09,82
2013-10,98
2013-11,85
2013-12,81
2014-01,83
2014-02,98
2014-03,91
2014-04,89
2014-05,84
2014-06,76
2014-07,78
2014-08,77
2014-09,81
2014-10,88
2014-11,81
2014-12,74
2015-01,72
2015-02,93
2015-03,78
2015-04,75
2015-05,76
2015-06,71
2015-07,68
2015-08,67
2015-09,70
2015-10,81
2015-11,70
2015-12,67
2016-01,62
2016-02,75
2016-03,69
2016-04,63
2016-05,64
2016-06,61
2016-07,60
2016-08,56
2016-09,60
2016-10,66
2016-11,59
2016-12,57
2017-01,57
2017-02,74
2017-03,67
2017-04,61
2017-05,59
2017-06,56
2017-07,53
2017-08,54
2017-09,55
2017-10,66
2017-11,54
2017-12,51
2018-01,50
2018-02,58
2018-03,58
2018-04,50
2018-05,50
2018-06,47
2018-07,48
2018-08,47
2018-09,50
2018-10,51
2018-11,50
2018-12,47
2019-01,51
2019-02,56
2019-03,49
2019-04,48
2019-05,47
2019-06,44
2019-07,39
2019-08,43
2019-09,44
2019-10,54
2019-11,47
2019-12,44
2020-01,42
2020-02,50
2020-03,45
2020-04,56
2020-05,58
2020-06,54
2020-07,47
2020-08,44
2020-09,45
2020-10,49
2020-11,41
2020-12,42
2021-01,43
2021-02,53
2021-03,47
2021-04,43
2021-05,46
2021-06,40
2021-07,39
2021-08,39
2021-09,39
2021-10,46
2021-11,40
2021-12,40
2022-01,37
2022-02,44
2022-03,40
2022-04,42
2022-05,42
2022-06,40
2022-07,36
2022-08,34
2022-09,38
2022-10,43
2022-11,34
2022-12,35
2023-01,34
2023-02,39
2023-03,38
2023-04,39
2023-05,39
2023-06,35
2023-07,32
2023-08,33
2023-09,34
2023-10,39
2023-11,36
2023-12,34
2024-01,32
2024-02,38
2024-03,38
2024-04,32
2024-05,35
2024-06,30
2024-07,30
2024-08,31
2024-09,32
2024-10,35
2024-11,34
2024-12,33
2025-01,30
2025-02,36
2025-03,32
2025-04,34
2025-05,34
2025-06,31
